id,fac,rut,estadoprod,proveedor,producto,clase_modelo,costo_UF,valor_UF,Tipo_Pago,n_pagador,vendedor,fecha_contrato,meses_contrato,meses_renovacion,fecha_factura,fecha_inst_fac,codigo_servicio,ip,gw,ip_router,modelo_router,dir_inst,comentarios
14,0,76.015.531-4,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,PSITIE-19112,186.103.225.136/29,186.103.225.137,186.103.225.138,MKT RB-751,,"Avda del Parque 4860 Local 4, Ciudad Empresarial"
15,0,76.015.531-4,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,PSITIE-19110,186.103.226.128/29,186.103.226.129,186.103.226.130,MKT RB-951,,"Pio Nono 73 Local 66, Providencia"
16,0,76.596.787-2,de baja,telefonica empresas,enlace dedicado,10-ene,11,8.5,mensual,201604611,,,,,,,PSITIE20931,186.103.225.224/29,186.103.225.225,186.103.225.226,,,ex Fukai Plaza Ñuñoa - Folio 09-12-16 Nº: 596854 - folio de escalamiento 12-12-16 Nº: 4422953
17,0,76.304.060-7,activo,telefonica empresas,enlace dedicado,100-10,6.29,8.5,mensual,201603922,dam,06-09-16,60,,,,PSITIE20771,201.236.135.232/29,201.236.135.233,201.236.135.234,RB-951,Huérfanos 786 oficina 1200,Ex TNA - Ex Serviplaga
18,0,76.230.578-K,de baja,telefonica chile,adsl,6 Megas,0.75,1.01,mensual,222110449,,,,,,,222110449,,,,76.466.204-0,,
19,0,76.099.521-5,activo,telefonica empresas,enlace dedicado,100-2,7.78,10,mensual,201502551-201504640,,24-08-15,60,,,,PSITIE19092,186.103.221.168/29,186.103.221.169,186.103.221.170,CRS-125-24G,"Avenida del Parque 4928,  Oficina 426, Ciudad Empresarial",
20,0,76.186.746-6,activo,telefonica empresas,enlace dedicado,10-ene,2.8,6.32,mensual,201504577,,23-09-15,60,,,,PSITIE19181,186.103.227.56/29,186.103.227.57,186.103.227.58,MKT RB-951,"Avenida del Parque 5275 Oficina 204, Ciudad Empresarial",
21,0,52.004.472-8,activo,telefonica chile,adsl,6 Megas,0.75,1,mensual,222030243,,,,,,,222030243,,,,,,
22,0,76.466.204-0,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,PSITIE19780,186.103.222.40/29,186.103.222.41/29,186.103.222.42,RB-951,,Ex Serviplaga
23,0,76.908.430-4,de baja,telefonica empresas,enlace dedicado,100-20,0,0,mensual,,,,,,,,PSTIE-20369,186.103.219.152/29,186.103.219.153,186.103.219.154,RB-1100,,
24,0,76.534.218-k,activo,tna solutions,enlace dedicado,100-40,0,14.05,mensual,,,,,,,,LLAMOV14024,186.103.167.208/29,186.103.167.209,186.103.167.210,CCR-1016-12G,,
25,0,96.986.170-4,activo,telefonica empresas,enlace dedicado,100-10,4.2,8.5,mensual,201600957 - N201604267-1,,06-12-16,60,,,,PSITIE20842,186.103.220.240/29,186.103.220.241,186.103.220.242,RB-951,Cerro del Plomo 5630 Las Condes,Cerro El Plomo
26,0,77.597.410-9,activo,telefonica empresas,enlace dedicado,100-10,6.29,8.5,mensual,201602930,,30-09-16,60,,,,PSITIE20459,186.103.217.234-238/,186.103.237.129/29,,,PRESIDENTE KENNEDY 5488,
27,0,77.597.410-9,activo,gtd manquehue,adsl,50 Mbps,2.4,2.6,mensual,,,,,,,,3162799,,,,,"Presidente Kennedy 5488,  piso 2,  Torre Sur",viernes 09 de 9:00 a 13:00 - Nº reclamo: 6035642
28,0,76.487.735-7,activo,telefonica empresas,enlace dedicado,100-20,6.29,8.5,mensual,201814152,,13-07-16,60,,,,VPF1667649,200.54.154.160/29,200.54.154.161,,,NUEVA YORK #33. PISO 17 OFI. 17. SANTIAGO,trasladado de Bernardo O Higgins 886 
29,0,76.094.894-2,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,VFP1560752 - PSITIE20223,186.103.217.234-238/,186.103.217.233/29,,,,
30,0,78.469.420-8,de baja,telefonica empresas,enlace dedicado,100-10,8.3,8.3,mensual,200433450,,,,,,,PSITIE-20300,200.54.182.26-30/29,200.54.182.25,,,,traslado a Charles Hamilton - DE BAJA
31,0,76.397.334-4,activo,telefonica empresas,enlace dedicado,100-10,6.3,7,mensual,201602662,,16-06-16,60,,,,PSITIE20392,186.103.223.162-166/,186.103.223.161/29,,Cisco R1941,Juan XXIII 6110,
32,0,76.272.440-5,activo,telefonica chile,adsl,15 MB,0.9,1.2,mensual,225215753,,,,,,,225215753,,,,,,soporte 6006000280
33,0,76.848.190-3,de baja,telefonica empresas,adsl,50 Megas,0,0,mensual,,,,,,,,222077791,,,,76.466.204-0,,
34,0,77.913.720-1,de baja,telefonica empresas,enlace dedicado,100/10,0,0,mensual,,,,,,,,VPS1560753,186.103.217.226/29,186.103.217.225,186.103.217.228,MKT Propio de Cliente,,
35,0,96.785.290-2,de baja,telefonica empresas,adsl,6 Megas,0,0,mensual,,,,,,,,228720603,,,,76.178.138-3,,
36,0,96.773.060-2,de baja,telefonica empresas,enlace dedicado,100-10,0,0,mensual,,,,,,,,06-01-0010154115,200.27.49.89/29,200.27.49.89,200.27.49.90,RB-1100,,
37,0,76.085.050-0,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,VPF1550752,186.103.217.232/29,186.103.217.233,186.103.217.234,MKT RB-751,,
38,0,76.466.204-0,de baja,telefonica empresas,enlace dedicado,10-ene,0,0,mensual,,,,,,,,PSITIE20931,186.103.225.224/29,186.103.225.225/29,186.103.225.226,,,Ex Fukai Ñuñoa
40,0,76.848.887-8,activo,pit chile,enlace dedicado,200-50,7.7,11.2,mensual,FAC PIT 187,,01-04-18,36,,,,LLAMOV14807,,,,,SAN FRANCISCO DE ASIS P16 8B REINA SUR SN COLINA,Ex Telecomunicaciones Internacionales S.A(179).
41,0,78.454.700-0,activo,telefonica empresas,enlace dedicado,100-20,7.96,11.2,mensual,201602960,,24-11-16,60,,,,PSITIE20619,201.236.136.170-174/,,,, AV AMERICO VESPUCIO 2100,V. Distribucion - A. Vespucio 2100 Quilicura
42,0,78.454.700-0,activo,telefonica empresas,mpls,10M,4.73,12.6,mensual,201602960,,24-11-16,60,,,,VIP13580.,Datos 172.16.1.0/24 ,,,, AV AMERICO VESPUCIO 2100,A. Vespucio 2100 Quilicura - cerramiento - euro stgo - termo Q - v. dist - V mont.
43,0,78.454.700-0,activo,telefonica empresas,mpls,10M,4.36,9.8,mensual,201602960,,24-11-16,60,,,,VIP13581.,Datos 172.16.6.0/24 ,,,,Manuel Rodriguez 333 Concepcion,Euro concepcion - Manuel Rodriguez 333 Concepcion
44,0,78.454.700-0,activo,telefonica empresas,mpls,10M,7.08,4.9,mensual,201602960,,24-11-16,60,,,,VIP13582.,Datos 172.16.7.0/24 ,,,,"Sebastopol 1707, Osorno","Euro Osorno - Sebastopol 1707, Osorno"
45,0,78.454.700-0,activo,telefonica empresas,mpls,10M,6.34,5.6,mensual,201602960,,24-11-16,60,,,,VIP13583.,Datos 172.16.4.0/24 ,,,,"Ruta 60 CH520, Vina del Mar","Euro Vina - Ruta 60 CH520, Vina del Mar"
46,0,78.454.700-0,activo,telefonica empresas,mpls,10M,4.45,13.3,mensual,201603630,,24-11-16,60,,,,VIP13678,Datos 172.16.3.0/24 ,,,,"Santa Maria 7030, Vitacura","Santa Maria 7030, Vitacura"
47,0,78.454.700-0,activo,telefonica empresas,mpls,10M,4.35,2.8,mensual,201603630,,24-11-16,60,,,,VIP13679,Datos172.16.2.0/24 -,,,,ALONSO DE CORDOVA 4294,"termoqualit - Alonso de Cordova, Vitacura"
48,0,78.454.700-0,activo,telefonica empresas,mpls,10M,4.85,9.8,mensual,201603630,,24-11-16,60,,,,VIP13680,Datos 172.16.5.0/24 ,,,,"AV EDMUNDO ELUCHANS 1850, Vina del mar","Edmundo Luchans, V. del Mar"
50,0,77.934.110-0,de baja,pit chile,enlace dedicado,100-10,0,0,mensual,,,,,,,,LLAMOV14169,170.79.233.16/29,170.79.233.16/29,172.16.100.9,,,"Camino del Cerro 4868, Huechuraba"
51,0,76.094.894-2,de baja,tna solutions,telefonia ip,Central telefonica 500 Minutos ,0.46,0.6,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual,  Incluye: - Hasta 5 DID (números telefónicos) - Hasta 50 Anexos"
52,0,76.094.894-2,de baja,tna solutions,soporte,2 Horas OnSite Mensual,0,1.5,mensual,,,,,,,,,,,,,,
53,0,76.094.894-2,de baja,tna solutions,reseller,Reseller 30 GB Mensual,0,0.72,mensual,,,,,,,,,,,,,,"Espacio:	30 GB  Dominios IS2.cl - grupobox.cl - inversionesmagnolio.cl - lasierradechicureo.cl"
54,0,76.230.578-K,de baja,tna solutions,telefonia ip,Central telefonica Virtual 2.000 minutos,1.15,1.5,mensual,,,,,,,,,,,,,,
55,0,76.090.231-4,activo,tna solutions,enlace dedicado,100/100,0.01,13.5,mensual,,,,,,,,,,,,,,
56,0,76.090.231-4,activo,tna solutions,telefonia ip,3.000 minutos,1.62,2.1,mensual,,,,,,,,,,,,,, De 26 a 100 Anexos - Plan de 3.000 Minutos SLM - 1 DID 
57,0,76.435.693-4,de baja,telefonica empresas,enlace dedicado,20-oct,0,0,mensual,,,,,,,,,,,,,,
58,0,76.435.693-4,de baja,tna solutions,telefonia ip,central telefonica  2000 Minutos,1.38,1.8,mensual,,,,,,,,,,,,,,Hasta 5 DID (números telefónicos) - Hasta 50 Anexos - Plan de 2000 Minutos SLM
59,0,76.435.693-4,de baja,tna solutions,hosting,Reseller 30 GB,0,0.8,mensual,,,,,,,,,,,,,,
60,0,76.497.396-8,de baja,tna solutions,hosting,Hosting 25 Gb,0,0.47,mensual,,,,,,,,,,,,,,"Espacio:	25 GB Cuentas de Email:	200"
61,0,52.004.472-8,activo,tna solutions,reseller,Reseller 15GB,0,0.77,mensual,,,,,,,,,,,,,,business-center.cl cognac.cl
62,0,52.004.472-8,activo,tna solutions,telefonia ip,Central Telefonica 500 Minutos ,3.08,4,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual, incluye 25 DID, 500 Minutos"
63,0,52.004.472-8,activo,tna solutions,cloud,50 Gb,0,0.83,mensual,,,,,,,,,,,,,,"Servicio Cloud Básico Espacio:	50 GB"
64,0,76.073.937-5,en traslado,entel,enlace dedicado,10-ene,8.7,11.31,mensual,Folio 1799632110093434,dam,21-10-16,36,6,,,Num contrato 329131,,,,,,
65,0,76.073.937-5,activo,tna solutions,telefonia ip,Central telefonica 3.000 minutos,2.8,4,mensual,,,,,,,,,,,,,,
66,0,76.304.060-7,de baja,tna solutions,telefonia ip,"SipTrunk 	10k Minutos",3.85,5,mensual,,,,,,,,,,,,,,
67,0,76.304.060-7,activo,tna solutions,hosting,Hosting 25 GB,0,5.25,anual,,,,,,,,,,,,,,
68,0,76.397.334-4,activo,tna solutions,soporte,1 visita de 3H mes ,0,2.25,mensual,,,,,,,,,,,,,,2do Lunes de cada mes
69,0,76.397.334-4,activo,tna solutions,telefonia ip,Central Telefonica 10.000 Minutos ,6.4,8.32,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual. Incluye hasta 50 números telefónicos, 8,32SLM, anexos ilimitados."
70,0,76.526.927-K,de baja,tna solutions,hosting,25 GB,0,0.47,mensual,,,,,,,,,,,,,,
71,0,76.015.531-4,de baja,telefonica chile,adsl,10 MB,0,0,mensual,,,,,,,,7456742,,,,,,Ciudad Empresarial - Avda del Parque 4860 Local 4
72,0,76.015.531-4,de baja,telefonica chile,adsl,10 MB,0,0,mensual,,,,,,,,7442357,,,,,,"Patio Bellavista - Pio Nono 73 Local 66, Providencia - Folio 494680 (intal router)"
73,0,76.015.531-4,de baja,telefonica chile,adsl,10 MB,0,0,mensual,,,,,,,,7442357,,,,"Wifi (N900): .arroz.fk.,17",,"Patio Bellavista - Pio Nono 73 Local 66, Providencia"
74,0,76.085.050-0,de baja,tna solutions,hosting,6 GB,0,0,mensual,,,,,,,,,,,,,,
75,0,76.015.531-4,de baja,telefonica chile,adsl,5 MB,0,0,mensual,,,,,,,,7456742,,,,,,"Jorge washington 144, Ñuñoa"
76,0,99.556.110-7,activo,didww,did adicional,DID 800 Costa RIca ,0.23,0.35,mensual,,,,,,,,,,,,,,"Costo mensual número telefonico 800 para paises de America, según el siguiente detalle de paises y costo:    Costa Rica	UF 0,35  Mexico		UF 0,28  USA		UF 0,175  Canada		UF 0,175  Costo por minuto de l"
77,0,99.516.750-6,activo,tna solutions,telefonia ip,2.000 minutos,1.4,1.82,mensual,,,,,,,,,,,,,,
78,0,99.556.110-7,activo,tna solutions,telefonia ip,Central telefonica 3.000 Minutos,1.62,2.1,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual. Incluye Plan de 3.000 minutos SLM, hasta 100 anexos, 30 Canales y administración de una centena de DID."
79,0,99.556.110-7,de baja,tna solutions,equipo en arriendo, 2 Licencias para Roter Cisco ,0,7.8,mensual,,,,,,,,,,,,,,"2 Licencias de por vida SEC-K9, para Router Cisco 1941-K9 Ubicado en SIA y GTD Licencia facturable en 6 cuotas de UF 3,9 c/u"
80,0,99.556.110-7,de baja,tna solutions,soporte,Confiruacion de Telefonia para turnos ,0,1,mensual,,,,,,,,,,,,,,Configuración mensual  de  Llamadas desde número Virtual a usuarios por Turno AM- PM
81,0,76.424.331-5,activo,tna solutions,telefonia ip,Central Telefonica 7.000 ,6.15,8,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual, Incluye 7.000 minutos"
82,0,76.424.331-5,de baja,tna solutions,soporte,Cloud  100GB,0,1.5,mensual,,,,,,,,,,,,,,"Servicio Cloud Pyme Espacio:	100 GB"
83,0,76.410.308-4,activo,tna solutions,telefonia ip,Central Telefonica 500 Minutos,0.48,0.62,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual Incluye 3 anexos, 500 Minutos y 1 DID"
84,0,76.534.218-k,activo,tna solutions,soporte,Full 8 horas x 5 dias sem.,0,8,mensual,,,,,,,,,,,,,,
85,0,76.534.218-k,activo,tna solutions,cloud,50 GB.,0,0,mensual,,,,,,,,,,,,,,
86,0,76.534.218-k,de baja,tna solutions,colocate,1 U Morando,0,1,mensual,,,,,,,,,,,,,,
87,0,76.534.218-k,de baja,tna solutions,hosting,Reseller 50 GB Morando,0,0.5,mensual,,,,,,,,,,,,,,
88,0,76.048.177-7,activo,tna solutions,telefonia ip,4.000 min ,4.15,5.4,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual. Incluye: Hasta 100 Nº Telefónicos, 60 Anexos, 30 Canales, 10.000 Minutos SLM."
89,0,76.534.218-k,de baja,telefonica empresas,vpn,VPN iP publica Orbis,0,0,mensual,,,,,,,,,,,,,,
90,0,96.785.290-2,activo,tna solutions,reseller,Reseller 30 GB,0,1,mensual,,,,,,,,,,,,,,chileantrading.cl - worldpack.cl
91,0,96.785.290-2,activo,tna solutions,soporte,soporte on site,0,6,mensual,,,,,,,,,,,,,,8 Horas Hombre de Soporte Informatico On Site
92,0,96.785.290-2,activo,tna solutions,telefonia ip,Central Telefonica 3.000 MInutos,3.85,5,mensual,,,,,,,,,,,,,,
93,0,96.785.290-2,activo,tna solutions,cloud,Cloud 50 GB,0,0.83,mensual,,,,,,,,,,,,,,"Servicio Cloud Básico Espacio:	50 GB"
95,0,77.934.110-0,de baja,tna solutions,hosting,Hosting 25 GB,0,0.44,mensual,,,,,,,,,,,,,,
96,0,77.934.110-0,de baja,tna solutions,telefonia ip,central Telefonica  2.000 minutos,1.92,2.5,mensual,,,,,,,,,,,,,,
97,0,77.934.110-0,de baja,tna solutions,soporte,soporte on site de Lunes a Viernes 1/2 Dia,0,15.6,mensual,,,,,,,,,,,,,,Soporte Informatico On Site de Lunes a Viernes de 8:30 Hrs a 13:30 Hrs. Soporte inormatico para continuidad Operacional de la red y equipamiento en uso y generación de Informes estadísticos.
98,0,76.385.255-5,de baja,tna solutions,telefonia ip,Central telefonica 500 Min,0.19,0.25,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual Incluye 3 anexos, 500 Minutos y 1 DID"
99,0,99.534.800-4,activo,tna solutions,telefonia ip,Central telefonica 2.000 Min,1.23,1.6,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual, Incluye 2000 minutos."
100,0,99.534.800-4,de baja,tna solutions,colocate,1U (2U),0,4,mensual,,,,,,,,,,,,,,Collocate Servidores 1U
101,0,99.534.800-4,de baja,bynarya,soporte,Soporte On Site ,0,3,mensual,,,,,,,,,,,,,,4 Horas Hombre de Soporte Informatico On Site  Visita de 2 Horas Quincenales.
102,0,96.773.060-2,activo,tna solutions,soporte,Soporte On SIte 16 HRS,0,12,mensual,,,,,,,,,,,,,,"Soporte On site, Todos los Viernes 4 Horas diarias "
103,0,96.773.060-2,activo,tna solutions,telefonia ip,Central Telefonica 18.000 Min,11.54,15,mensual,,,,,,,,,,,,,,
104,0,76.908.430-4,de baja,telefonica empresas,adsl,3.000 min.,0,3,mensual,,,,,,,,,,,,,,
105,0,96.773.060-2,activo,tna solutions,soporte,Manage de Servidor,0,13.5,mensual,,,,,,,,,,,,,,ADministracion Remota de 1 servidor 
106,0,76.015.531-4,de baja,tna solutions,telefonia ip,Central Telefónica  1.000 min,0.45,0.63,mensual,,,,,,,,,,,,,,
107,0,76.015.531-4,de baja,tna solutions,soporte,Soporte On Site 3 Hrs,0,3,mensual,,,,,,,,,,,,,,"3 Horas Hombre de Soporte Informatico On Site.  1 Visita mensual de una hora, a cada local."
108,0,76.233.391-0,activo,tna solutions,telefonia ip,Central Telefonica 500 min,0,0,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual Incluye 3 anexos, 500 Minutos y 1 DID"
109,0,76.360.929-4,de baja,tna solutions,telefonia ip,Central Telefónica  2000,1.54,2,mensual,,,,,,,,,,,,,,"Servicio de Central Telefonica Virtual,  Incluye: - Hasta 1 DID +56 2 2940 2303  - Hasta 50 Anexos - Plan de 2000 Minutos SLM Valor Minuto Nacional $ 15 Valor Minuto a Celular $ 29"
110,0,76.360.929-4,de baja,tna solutions,telefonia ip,DID Sao Pablo,0.38,0.5,mensual,,,,,,,,,,,,,,
111,0,76.186.746-6,activo,tna solutions,telefonia ip,Sip-Trunk 1.000 Minutos,0.46,0.6,mensual,,dam,,,,,,,,,,,,
112,0,76.099.521-5,activo,tna solutions,telefonia ip,Central Telefonica 4.000 minutos,2.31,3,mensual,,,,,,,,,,,,,,
113,0,76.908.430-4,de baja,tna solutions,did adicional,1 DID adicional,0,20,mensual,,,,,,,,,,,,,,
114,0,76.099.521-5,activo,tna solutions,soporte,Soporte On Site 8 HRs,0,6,mensual,,,,,,,,,,,,,,"2 horas diaria , todo los Miercoles en la mañana "
115,0,76.255.233-7,activo,tna solutions,telefonia ip,Sip-Trunk 18.000,1.12,1.6,mensual,,,,,,,,,,,,,,
116,0,76.356.306-5,activo,tna solutions,telefonia ip,500 min,0.46,0.62,mensual,,,,,,,,,,,,,,
117,0,76.558.268-7,de baja,pit chile,enlace dedicado,100-10,0,0,mensual,,,,,,,,LLAMOV1442,,,,,,"TRASLADO GNT FAC385 - Isidora Goyenechea 2800, piso 29"
118,0,81.246.800-6,activo,tna solutions,reseller,Reseller 5GB ,0,3.05,anual,,,,,,,,,,,,,,mobelstore.cl  - nagel.cl -  nagelantiguedades.cl
119,0,76.180.102-3,activo,tna solutions,telefonia ip,2.000 Min,1.22,1.58,mensual,,,,,,,,,,,,,,
120,0,76.015.531-4,de baja,tna solutions,hosting,25 GB,0,0.7,mensual,,,,,,,,,,,,,,
121,0,96.841.500-K,de baja,gtd teleductos,enlace dedicado,10/2 MB,7.2,10,mensual,,,,,,,,401574,,,,,Maria Josefina S/N Lote 2-05 Parque Industrial,de baja 11-18
122,0,96.841.500-K,activo,tna solutions,telefonia ip,2.500 Mintutos,1.54,2,mensual,,,,,,,,,,,,,,asta 10 DID hasta 25 anexos 2.500 Minutos SLM
123,0,76815270-5,activo,pit chile,enlace dedicado,100/20,4.93,9.45,mensual,FAC PIT 51,,08-06-17,36,,,,LLAMOV14430,,,,,"Arrayan 2750, of 301, providencia","Arrayan 2750, of 301, providencia"
124,0,76.181.442-7,de baja,tna solutions,telefonia ip, 500 Minutos,0.46,0.6,mensual,,,,,,,,,,,,,,"TRASLADO A CASAMUSA FAC391 - Avda. Kennedy Nº5488, Oficina 1306, Vitacura"
125,0,96.952.620-4,de baja,tna solutions,telefonia ip,500 min,0.54,0.7,mensual,,,,,,,,,,,,,,
126,0,96.605.150-7,activo,tna solutions,telefonia ip,8.000 min,5.42,7.05,mensual,,,,,,,,,,,,,,
127,0,76.558.268-7,de baja,pit chile,adsl,50 MB,0,0,mensual,,,,,,,,LLAMOV1442,,,,,,
128,0,76.596.787-2,de baja,tna solutions,telefonia ip,3.000 min,1.62,2.1,mensual,,,,,,,,,,,,,,
129,0,76.596.787-2,activo,tna solutions,cloud,200 GB,0,0.83,mensual,,,,,,,,,,,,,,
130,0,76.596.787-2,de baja,tna solutions,soporte,soporte on line + 1 visita,0,0,mensual,,,,,,,,,,,,,,
131,0,78.469.420-8,activo,tna solutions,soporte,2 visitas Quincenales de 2 Horas ,0,3,mensual,,,,,,,,,,,,,,2 visitas Quincenales de 2 Horas Hombre de Soporte Informatico On Site
132,0,78.469.420-8,activo,tna solutions,reseller,Reseller 100 GB ,0,1.2,mensual,,,,,,,,,,,,,,accuratek.cl
133,0,76.618.607-6,de baja,tna solutions,hosting,25 GB,0,0.7,mensual,,,,,,,,,,,,,,
134,0,76129526-4,activo,telefonica empresas,enlace dedicado,100-10,8.3,8.5,mensual,201712658,mam,26-12-17,60,,,,PSITIE21733 - ex Fukai Bella,186.103.226.128/29,186.103.226.129,186.103.226.130,,"Nueva costanera 4261, Vitacura","Sucursal Vitacura: Nueva costanera 4261, Vitacura"
135,0,99.541.390-6,de baja,tna solutions,reseller,"	Reseller 30 GB - Anual",0,6,mensual,,,,,,,,,,,,,,adisol.cl ancona.cl avarservi.cl bitgo.cl bittner.cl chabit.cl chavan.cl colegionewenmapu.cl dagavea.cl dipromat.cl espaciosdeensuenos.cl factorvital.cl farmaciasanjavier.cl fnp.cl fundacionarca.cl gl
136,0,76.754.117-1,activo,pit chile,enlace dedicado,100-10,4.93,8.5,mensual,FAC PIT 57,dam,23-03-17,36,,,,LLAMOV14338,,,,,"CERRO COLORADO 5812 , LAS CONDES",
137,0,76.541.256-0,activo,tna solutions,telefonia ip,Servicio de Central Telefónica Empresa,1,2,mensual,,,,,,,,,,,,,,Servicio de Central Telefónica Empresa
138,0,76.541.256-0,activo,telefonica empresas,enlace dedicado,Enlace Dedicado 100 Nac. - 10 Inter. 1:4,6.29,11.5,mensual,201602985,,31-08-16,60,,,,PSITIE20537,,,,,"Avenida viel poniente 1965, Santiago",Enlace Dedicado 100 Nac. - 10 Inter. 1:4
139,0,76.541.256-0,activo,tna solutions,soporte,Horas Hombre de Soporte Informatico On Site   cada,0,4,mensual,,romina,13-02-19,,,,13-02-19,,,,,,,Horas Hombre de Soporte Informatico On Site   cada martes todo el dia 
140,0,76409351-8,activo,telefonica empresas,enlace dedicado,100/20,6.29,5.5,mensual,201701621,,17-06-17,60,,,,PSITIE21940,,186.103.167.209,186.103.167.210,,"Pio Nono 59, local 64, Patio Bellavista","Pio Nono 59, local 64, Bellavista (patio) "
141,0,76.015.531-4,activo,telefonica empresas,enlace dedicado,10-jun,4.94,7.25,mensual,201701620-201501486,,26-04-17,60,,,,PSITIE21939 ex PSITIE18471,,186.103.214.241,186.103.214.242,,"Avenida del Parque 4860 Local 4, Ciudad empresarial (ex bezanilla)","Avenida del Parque 4860 Local 4, Ciudad empresarial (ex bezanilla)"
142,0,76.015.531-4,activo,tna solutions,enlace dedicado,50/20,0,5.5,mensual,201504715,,,,,,,PSITIE21940,,186.103.167.209,186.103.167.212,,Instalado en TPF bellavista,"enlace desde TPF Bellavista SPA - CCTV http://186.103.167.212:82 - remoto 1313131313 - admin P3rf3ct0., - WIFI: FUKAI: .arroz.fk.,17 - FUKAIVISITAS: sushi.2016"
